+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 1 | 10 |       NEW |     READY |
|                 1 |101 |       NEW |     READY |
|                 1 |102 |       NEW |     READY |
|                 1 |1022 |       NEW |     READY |
|                 1 |1022 |     READY |   RUNNING |
|                 6 |  4 |       NEW |     READY |
|                 6 | 42 |       NEW |     READY |
|                 6 | 43 |       NEW |     READY |
|                53 |1022 |   RUNNING |TERMINATED |
|                53 | 43 |     READY |   RUNNING |
|                63 | 45 |       NEW |     READY |
|               117 | 43 |   RUNNING |   WAITING |
|               117 | 45 |     READY |   RUNNING |
|               180 | 43 |   WAITING |     READY |
|               181 | 45 |   RUNNING |   WAITING |
|               181 | 43 |     READY |   RUNNING |
|               244 | 45 |   WAITING |     READY |
|               245 | 43 |   RUNNING |   WAITING |
|               245 | 45 |     READY |   RUNNING |
|               308 | 43 |   WAITING |     READY |
|               309 | 45 |   RUNNING |   WAITING |
|               309 | 43 |     READY |   RUNNING |
|               372 | 45 |   WAITING |     READY |
|               373 | 43 |   RUNNING |   WAITING |
|               373 | 45 |     READY |   RUNNING |
|               436 | 43 |   WAITING |     READY |
|               437 | 45 |   RUNNING |   WAITING |
|               437 | 43 |     READY |   RUNNING |
|               500 | 45 |   WAITING |     READY |
|               501 | 43 |   RUNNING |   WAITING |
|               501 | 45 |     READY |   RUNNING |
|               564 | 43 |   WAITING |     READY |
|               565 | 45 |   RUNNING |   WAITING |
|               565 | 43 |     READY |   RUNNING |
|               628 | 45 |   WAITING |     READY |
|               629 | 43 |   RUNNING |   WAITING |
|               629 | 45 |     READY |   RUNNING |
|               692 | 43 |   WAITING |     READY |
|               693 | 45 |   RUNNING |   WAITING |
|               693 | 43 |     READY |   RUNNING |
|               756 | 45 |   WAITING |     READY |
|               757 | 43 |   RUNNING |   WAITING |
|               757 | 45 |     READY |   RUNNING |
|               820 | 43 |   WAITING |     READY |
|               821 | 45 |   RUNNING |   WAITING |
|               821 | 43 |     READY |   RUNNING |
|               884 | 45 |   WAITING |     READY |
|               885 | 43 |   RUNNING |   WAITING |
|               885 | 45 |     READY |   RUNNING |
|               948 | 43 |   WAITING |     READY |
|               949 | 45 |   RUNNING |   WAITING |
|               949 | 43 |     READY |   RUNNING |
|              1012 | 45 |   WAITING |     READY |
|              1013 | 43 |   RUNNING |   WAITING |
|              1013 | 45 |     READY |   RUNNING |
|              1076 | 43 |   WAITING |     READY |
|              1077 | 45 |   RUNNING |   WAITING |
|              1077 | 43 |     READY |   RUNNING |
|              1140 | 45 |   WAITING |     READY |
|              1141 | 43 |   RUNNING |   WAITING |
|              1141 | 45 |     READY |   RUNNING |
|              1204 | 43 |   WAITING |     READY |
|              1205 | 45 |   RUNNING |   WAITING |
|              1205 | 43 |     READY |   RUNNING |
|              1268 | 45 |   WAITING |     READY |
|              1269 | 43 |   RUNNING |   WAITING |
|              1269 | 45 |     READY |   RUNNING |
|              1332 | 43 |   WAITING |     READY |
|              1333 | 45 |   RUNNING |   WAITING |
|              1333 | 43 |     READY |   RUNNING |
|              1396 | 45 |   WAITING |     READY |
|              1397 | 43 |   RUNNING |   WAITING |
