+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 1 | 10 |       NEW |     READY |
|                 1 |101 |       NEW |     READY |
|                 1 |102 |       NEW |     READY |
|                 1 |1022 |       NEW |     READY |
|                 1 | 10 |     READY |   RUNNING |
|                 6 | 10 |   RUNNING |TERMINATED |
|                 6 |  4 |       NEW |     READY |
|                 6 | 42 |       NEW |     READY |
|                 6 | 43 |       NEW |     READY |
|                 6 |  4 |     READY |   RUNNING |
|                63 | 45 |       NEW |     READY |
|                70 |  4 |   RUNNING |   WAITING |
|                70 | 42 |     READY |   RUNNING |
|               133 |  4 |   WAITING |     READY |
|               134 | 42 |   RUNNING |   WAITING |
|               134 |  4 |     READY |   RUNNING |
|               162 |  4 |   RUNNING |TERMINATED |
|               162 | 43 |     READY |   RUNNING |
|               197 | 42 |   WAITING |     READY |
|               226 | 43 |   RUNNING |   WAITING |
|               226 | 42 |     READY |   RUNNING |
|               289 | 43 |   WAITING |     READY |
|               290 | 42 |   RUNNING |   WAITING |
|               290 | 43 |     READY |   RUNNING |
|               353 | 42 |   WAITING |     READY |
|               354 | 43 |   RUNNING |   WAITING |
|               354 | 42 |     READY |   RUNNING |
|               417 | 43 |   WAITING |     READY |
|               418 | 42 |   RUNNING |   WAITING |
|               418 | 43 |     READY |   RUNNING |
|               481 | 42 |   WAITING |     READY |
|               482 | 43 |   RUNNING |   WAITING |
|               482 | 42 |     READY |   RUNNING |
|               545 | 43 |   WAITING |     READY |
|               546 | 42 |   RUNNING |   WAITING |
|               546 | 43 |     READY |   RUNNING |
|               609 | 42 |   WAITING |     READY |
|               610 | 43 |   RUNNING |   WAITING |
|               610 | 42 |     READY |   RUNNING |
|               673 | 43 |   WAITING |     READY |
|               674 | 42 |   RUNNING |   WAITING |
|               674 | 43 |     READY |   RUNNING |
|               737 | 42 |   WAITING |     READY |
|               738 | 43 |   RUNNING |   WAITING |
|               738 | 42 |     READY |   RUNNING |
|               801 | 43 |   WAITING |     READY |
|               802 | 42 |   RUNNING |   WAITING |
|               802 | 43 |     READY |   RUNNING |
|               865 | 42 |   WAITING |     READY |
|               866 | 43 |   RUNNING |   WAITING |
|               866 | 42 |     READY |   RUNNING |
|               929 | 43 |   WAITING |     READY |
|               930 | 42 |   RUNNING |   WAITING |
|               930 | 43 |     READY |   RUNNING |
|               993 | 42 |   WAITING |     READY |
|               994 | 43 |   RUNNING |   WAITING |
|               994 | 42 |     READY |   RUNNING |
|              1057 | 43 |   WAITING |     READY |
|              1058 | 42 |   RUNNING |   WAITING |
|              1058 | 43 |     READY |   RUNNING |
|              1121 | 42 |   WAITING |     READY |
|              1122 | 43 |   RUNNING |   WAITING |
|              1122 | 42 |     READY |   RUNNING |
|              1185 | 43 |   WAITING |     READY |
|              1186 | 42 |   RUNNING |   WAITING |
|              1186 | 43 |     READY |   RUNNING |
|              1249 | 42 |   WAITING |     READY |
|              1250 | 43 |   RUNNING |   WAITING |
|              1250 | 42 |     READY |   RUNNING |
|              1313 | 43 |   WAITING |     READY |
|              1314 | 42 |   RUNNING |   WAITING |
|              1314 | 43 |     READY |   RUNNING |
|              1377 | 42 |   WAITING |     READY |
