+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 1 | 10 |       NEW |     READY |
|                 1 |101 |       NEW |     READY |
|                 1 |102 |       NEW |     READY |
|                 1 |1022 |       NEW |     READY |
|                 1 | 10 |     READY |   RUNNING |
|                 6 | 10 |   RUNNING |TERMINATED |
|                 6 |  4 |       NEW |     READY |
|                 6 | 42 |       NEW |     READY |
|                 6 | 43 |       NEW |     READY |
|                 6 |  4 |     READY |   RUNNING |
|                63 | 45 |       NEW |     READY |
|                70 |  4 |   RUNNING |   WAITING |
|                70 | 42 |     READY |   RUNNING |
|               133 |  4 |   WAITING |     READY |
|               133 | 42 |   RUNNING |     READY |
|               133 |  4 |     READY |   RUNNING |
|               161 |  4 |   RUNNING |TERMINATED |
|               161 | 42 |     READY |   RUNNING |
|               162 | 42 |   RUNNING |   WAITING |
|               162 | 43 |     READY |   RUNNING |
|               225 | 42 |   WAITING |     READY |
|               225 | 43 |   RUNNING |     READY |
|               225 | 42 |     READY |   RUNNING |
|               289 | 42 |   RUNNING |   WAITING |
|               289 | 43 |     READY |   RUNNING |
|               290 | 43 |   RUNNING |   WAITING |
|               290 | 45 |     READY |   RUNNING |
|               352 | 43 |   WAITING |     READY |
|               352 | 45 |   RUNNING |     READY |
|               352 | 42 |     READY |   RUNNING |
|               353 | 43 |   WAITING |     READY |
|               416 | 42 |   RUNNING |   WAITING |
|               416 | 43 |     READY |   RUNNING |
|               479 | 42 |   WAITING |     READY |
|               479 | 43 |   RUNNING |     READY |
|               479 | 42 |     READY |   RUNNING |
|               543 | 42 |   RUNNING |   WAITING |
|               543 | 43 |     READY |   RUNNING |
|               544 | 43 |   RUNNING |   WAITING |
|               544 | 45 |     READY |   RUNNING |
|               546 | 45 |   RUNNING |   WAITING |
|               546 |101 |     READY |   RUNNING |
|               598 |101 |   RUNNING |TERMINATED |
|               598 |102 |     READY |   RUNNING |
|               606 | 43 |   WAITING |     READY |
|               606 |102 |   RUNNING |     READY |
|               606 | 42 |     READY |   RUNNING |
|               607 | 45 |   WAITING |     READY |
|               609 | 45 |   WAITING |     READY |
|               670 | 42 |   RUNNING |   WAITING |
|               670 | 43 |     READY |   RUNNING |
|               733 | 42 |   WAITING |     READY |
|               733 | 43 |   RUNNING |     READY |
|               733 | 42 |     READY |   RUNNING |
|               797 | 42 |   RUNNING |   WAITING |
|               797 | 43 |     READY |   RUNNING |
|               798 | 43 |   RUNNING |   WAITING |
|               798 | 45 |     READY |   RUNNING |
|               860 | 43 |   WAITING |     READY |
|               860 | 45 |   RUNNING |     READY |
|               860 | 42 |     READY |   RUNNING |
|               861 | 43 |   WAITING |     READY |
|               924 | 42 |   RUNNING |   WAITING |
|               924 | 43 |     READY |   RUNNING |
|               987 | 42 |   WAITING |     READY |
|               987 | 43 |   RUNNING |     READY |
|               987 | 42 |     READY |   RUNNING |
|              1051 | 42 |   RUNNING |   WAITING |
|              1051 | 43 |     READY |   RUNNING |
|              1052 | 43 |   RUNNING |   WAITING |
|              1052 | 45 |     READY |   RUNNING |
|              1054 | 45 |   RUNNING |   WAITING |
|              1054 |102 |     READY |   RUNNING |
